reporting_year,lea_name,school_code,school_name,sbe_region,spg_grade,spg_score,eg_score,eg_status,ach_score,rdgs_ach_score,mags_ach_score,cgrs_score
2018,Charter Schools,58B000,Bear Grass Charter School,northeast,C,68,64.5,NotMet,69,63.7,66.8,91.3
2018,Charter Schools,66A000,KIPP Gaston College Preparatory,northeast,C,66,71.1,Met,64.1,57.6,57.6,83.1
2018,Forsyth County Schools,340488,J F Kennedy High,piedmont triad,D,54,88.3,Exceeded,46,20.4,21.4,95
2018,Forsyth County Schools,340568,Winston-Salem Preparatory Acad,piedmont triad,D,41,71.4,Met,33.9,25.4,17.8,77.6
2018,Guilford County Schools,410391,Penn-Griffin Schools,piedmont triad,C,59,64.5,NotMet,57.1,52,41,95
2018,Charter Schools,01B000,River Mill Academy,piedmont triad,C,64,61.7,NotMet,65,68.1,53.7,94.3
2018,Charter Schools,01C000,Clover Garden,piedmont triad,B,71,79.5,Met,69.2,61.4,62.7,95
2018,Charter Schools,01D000,The Hawbridge School,piedmont triad,B,74,69.0,NotMet,75.3,78.5,63.3,88.9
2018,Charter Schools,34B000,Quality Education Academy,piedmont triad,C,57,80.7,Met,50.6,41,46.4,91.4
2018,Charter Schools,41F000,Triad Math and Science Academy,piedmont triad,B,72,80.5,Met,69.4,66.7,66.7,88.2
2018,Charter Schools,76A000,Uwharrie Charter Academy,piedmont triad,C,62,53.1,NotMet,63.6,67.8,54.6,85.6
2018,Charter Schools,86T000,Millennium Charter Academy,piedmont triad,C,69,68.2,NotMet,69.8,69.7,66.9,68.6
2018,Charter Schools,24B000,Thomas Academy,sandhills,D,49,77.1,Met,41.8,40,23.5,63.5
2018,Duplin County Schools,310364,North Duplin Jr Sr High,southeast,B,75,91.6,Exceeded,70.5,61.8,54.2,86.3
2018,Wayne County Public Schools,960700,Wayne School of Engineering,southeast,B,81,71.2,Met,83.2,83.7,69.2,95
2018,Charter Schools,69A000,Arapahoe Charter School,southeast,C,61,68.6,NotMet,59.1,61.6,49.1,86.5
2018,Charlotte-Mecklenburg Schools,600341,Cochrane Collegiate Academy,southwest,F,38,50.5,NotMet,34.8,32.6,22.6,81.1
2018,Charlotte-Mecklenburg Schools,600482,Northwest School of the Arts,southwest,B,80,91.7,Exceeded,77.1,73.4,71,93.8
2018,Charter Schools,13A000,Carolina International School,southwest,C,57,55.2,NotMet,57.4,61,42.4,84.9
2018,Charter Schools,36B000,Piedmont Community Charter School,southwest,B,78,87.0,Exceeded,75.5,74.5,71.8,95
2018,Charter Schools,36C000,Mountain Island Charter School,southwest,C,69,57.2,NotMet,72.5,72.6,69.5,95
2018,Charter Schools,49E000,Pine Lake Preparatory,southwest,B,82,65.1,NotMet,85.9,82.3,82.2,95
2018,Charter Schools,55A000,Lincoln Charter School,southwest,B,80,73.1,Met,81.1,82.1,77.3,95
2018,Charter Schools,60B000,Sugar Creek Charter,southwest,B,70,90.6,Exceeded,64.3,57.9,63.8,88.2
2018,Charter Schools,60D000,Lake Norman Charter,southwest,A,87,85.6,Exceeded,87.3,84.8,78.2,95
2018,Charter Schools,60G000,Queen's Grant Community School,southwest,B,72,82.6,Met,69.3,69,68.8,78.9
2018,Charter Schools,60I000,Community School of Davidson,southwest,B,83,74.4,Met,84.9,81,81.7,95
2018,Charter Schools,60K000,Charlotte Secondary,southwest,D,52,69.0,NotMet,48.1,36.5,30.1,77.3
2018,Charter Schools,60V000,Charlotte Learning Academy,southwest,F,36,68.8,NotMet,27.7,30.5,8.5,73
2018,Charter Schools,84B000,Gray Stone Day,southwest,B,74,57.2,NotMet,77.7,82.6,77.3,93.7
2018,Charter Schools,90A000,Union Academy,southwest,A,85,93.5,Exceeded,82.5,80,80.8,95
2018,Charter Schools,00B000,NC Virtual Academy,virtual,D,50,55.4,NotMet,48.6,59,30.1,60
2018,Jackson County Schools,500302,Blue Ridge Early College,western,C,57,73.1,Met,53.2,52.8,30.6,91.2
2018,Macon County Schools,560324,Highlands School,western,B,76,88.4,Exceeded,73.4,69.2,72.6,93.9
2018,Charter Schools,11D000,The Franklin School of Innovation,western,B,71,70.7,Met,71.1,75.2,62.4,80
2018,Charter Schools,81A000,Thomas Jefferson Class Academy,western,A,88,85.6,Exceeded,88.7,88.5,86.6,95
2019,Durham Public Schools,320314,The School for Creative Studies,north central,C,58,67.7,NotMet,55.6,55.5,47.9,83
2019,Durham Public Schools,320323,Durham School of the Arts,north central,A,85,98.5,Exceeded,82,75.7,80.2,95
2019,Johnston County Schools,510376,Princeton High,north central,C,67,76.8,Met,64.5,55.5,60.8,92.1
2019,Wake County Schools,920586,Wake Young Women's Leadership Academy,north central,A,92,88.7,Exceeded,92.9,93.5,95,95
2019,Charter Schools,19A000,Chatham Charter,north central,B,78,73.7,Met,78.5,70.6,71.4,92.7
2019,Charter Schools,19B000,Woods Charter,north central,A,90,74.099999999999994,Met,93.8,92.6,90.5,95
2019,Charter Schools,32L000,Voyager Academy,north central,B,82,90.9,Exceeded,79.4,79.1,79.1,87
2019,Charter Schools,33A000,North East Carolina Prep,north central,C,55,74.599999999999994,Met,50.4,50.6,46.5,77.8
2019,Charter Schools,39A000,Falls Lake Academy,north central,B,77,82.5,Met,75.8,73.4,77,95
2019,Charter Schools,39B000,Oxford Preparatory,north central,C,69,52.7,NotMet,72.9,73.7,54,91.4
2019,Charter Schools,51A000,Neuse Charter School,north central,C,69,56.8,NotMet,72.3,68.9,64.7,91.2
2019,Charter Schools,64A000,Rocky Mount Preparatory,north central,D,48,80.2,Met,40,39.5,28.2,83.3
2019,Charter Schools,73B000,Roxboro Community School,north central,B,83,72.900000000000006,Met,85.8,79.6,88.1,92.6
2019,Charter Schools,91B000,Henderson Collegiate,north central,B,83,86.8,Exceeded,82.4,79.2,79.2,90.9
2019,Charter Schools,92F000,Franklin Academy,north central,A,86,92.6,Exceeded,84.1,80.2,83.2,95
2019,Charter Schools,92G000,East Wake Academy,north central,B,80,84.4,Met,78.4,69.3,79.3,95
2019,Charter Schools,92P000,Southern Wake Academy,north central,C,63,57.6,NotMet,64.1,64.1,53.5,86.1
2019,Charter Schools,92T000,Triangle Math and Science Academy,north central,A,89,84.3,Met,90.3,91.1,90.1,95
2019,Charter Schools,98B000,Wilson Preparatory Academy,north central,C,65,54,NotMet,68.2,70.2,64,95
2019,Dare County Schools,280304,Cape Hatteras Secondary School,northeast,B,70,80.8,Met,67.6,64.2,69.8,86.3
2019,Martin County Schools,580344,South Creek Middle/High,northeast,D,48,65.7,NotMet,43,37.6,18,73.1
2019,Charter Schools,58B000,Bear Grass Charter School,northeast,B,78,90.6,Exceeded,74.3,70.7,79.3,91.7
2019,Charter Schools,66A000,KIPP Gaston College Preparatory,northeast,C,63,84.3,Met,57.6,48,56.9,91.2
2019,Charter Schools,70A000,Northeast Academy of Aerospace & AdvTech,northeast,C,69,59.1,NotMet,71.6,62.7,59.5,90.7
2019,Forsyth County Schools,340488,J F Kennedy High,piedmont triad,C,55,90.9,Exceeded,46.1,28.4,29.4,95
2019,Forsyth County Schools,340568,Winston-Salem Preparatory Acad,piedmont triad,F,39,69.2,NotMet,31.8,15.6,8.3,95
2019,Guilford County Schools,410391,Penn-Griffin Schools,piedmont triad,C,59,62.2,NotMet,58.6,50.6,41.6,95
2019,Charter Schools,01C000,Clover Garden,piedmont triad,B,75,84.7,Met,73,61.9,67.6,95
2019,Charter Schools,01D000,The Hawbridge School,piedmont triad,B,77,69.900000000000006,NotMet,78.4,72.8,63.3,95
2019,Charter Schools,34B000,Quality Education Academy,piedmont triad,C,59,87.1,Exceeded,51.7,40.8,44.4,90.9
2019,Charter Schools,34D000,Carter G Woodson School,piedmont triad,F,36,60.6,NotMet,30.4,26.1,22.6,83.3
2019,Charter Schools,34H000,NC Leadership Charter Academy,piedmont triad,B,82,64.8,NotMet,85.8,83.3,81.3,95
2019,Charter Schools,41F000,Triad Math and Science Academy,piedmont triad,C,59,52.4,NotMet,60.6,61.6,52.5,89.6
2019,Charter Schools,41G000,Cornerstone Charter Academy-CFA,piedmont triad,B,81,93.1,Exceeded,78.5,77.3,77.3,95
2019,Charter Schools,76A000,Uwharrie Charter Academy,piedmont triad,C,60,50,NotMet,63,61,58.8,87.2
2019,Charter Schools,86T000,Millennium Charter Academy,piedmont triad,B,71,69.2,NotMet,72,71.6,70.5,70.6
2019,Duplin County Schools,310364,North Duplin Jr Sr High,southeast,B,74,84,Met,72.1,60.8,57.4,85.2
2019,Wayne County Public Schools,960700,Wayne School of Engineering,southeast,A,88,90.3,Exceeded,87,82.1,82.6,95
2019,Charter Schools,69A000,Arapahoe Charter School,southeast,C,68,88.9,Exceeded,63.2,62.9,52.4,94.3
2019,Iredell-Statesville Schools,490310,Career Academy and Technical School,southwest,C,58,59.7,NotMet,57.9,55.8,33.3,87.9
2019,Charlotte-Mecklenburg Schools,600341,Cochrane Collegiate Academy,southwest,D,42,57.2,NotMet,38.6,30.7,33.9,83.3
2019,Charlotte-Mecklenburg Schools,600482,Northwest School of the Arts,southwest,B,84,91.7,Exceeded,81.9,70.8,83.4,95
2019,Charter Schools,13A000,Carolina International School,southwest,C,68,90.7,Exceeded,62.1,61.8,54.9,95
2019,Charter Schools,36B000,Piedmont Community Charter School,southwest,B,79,87,Exceeded,76.4,73.6,75.4,92.8
2019,Charter Schools,36C000,Mountain Island Charter School,southwest,B,82,86.7,Exceeded,80.6,81.8,79.1,95
2019,Charter Schools,49E000,Pine Lake Preparatory,southwest,A,87,81,Met,88.4,85.6,85.4,95
